name,year,rating,genre,description
Wrath of Man,2021,7.1,"Action, Crime, Thriller","The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week."
Blade Runner 2049,2017,8.0,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Gone Girl,2014,8.1,"Drama, Mystery, Thriller","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
The Prestige,2006,8.5,"Drama, Mystery, Thriller","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Devil All the Time,2020,7.1,"Crime, Drama, Thriller",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
Shooter,I 2007,7.2,"Action, Drama, Thriller","A marksman living in exile is coaxed back into action after learning of a plot to kill the President. After being double crossed for the attempt and on the run, he sets out for the real killer and the truth."
The Protégé,2021,6.1,"Action, Thriller","Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows."
Pig,I 2021,7.0,"Drama, Mystery, Thriller",A truffle hunter who lives alone in the Oregon wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.
Margin Call,2011,7.1,"Drama, Thriller",Follows the key people at an investment bank over a 24-hour period during the early stages of the 2008 financial crisis.
Jurassic Park,1993,8.2,"Action, Adventure, Sci-Fi",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
The Silence of the Lambs,1991,8.6,"Crime, Drama, Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Glass,2019,6.6,"Drama, Sci-Fi, Thriller","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
Reminiscence,2021,5.8,"Mystery, Romance, Sci-Fi","Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her."
Titane,2021,6.6,"Drama, Horror, Sci-Fi","Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys."
No Country for Old Men,2007,8.2,"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Basic Instinct,1992,7.0,"Drama, Mystery, Thriller",A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.
Shutter Island,2010,8.2,"Mystery, Thriller","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
The Departed,2006,8.5,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Hitman's Wife's Bodyguard,2021,6.1,"Action, Comedy, Crime","The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia."
Hereditary,2018,7.3,"Drama, Horror, Mystery",A grieving family is haunted by tragic and disturbing occurrences.
Léon,1994,8.6,"Action, Crime, Drama","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
Malignant,I 2021,6.3,"Crime, Horror, Mystery","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities."
Knock Knock,I 2015,4.8,"Drama, Thriller","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
Get Out,I 2017,7.7,"Horror, Mystery, Thriller","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Uncut Gems,2019,7.4,"Crime, Drama, Thriller","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive."
Speed 2: Cruise Control,1997,3.9,"Action, Adventure, Crime",A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.
Sicario,2015,7.7,"Action, Crime, Drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
Clue,1985,7.2,"Comedy, Crime, Mystery","Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up."
Ex Machina,2014,7.7,"Drama, Sci-Fi, Thriller",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
Baby Driver,2017,7.6,"Action, Crime, Drama","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
Starship Troopers,1997,7.3,"Action, Adventure, Sci-Fi","Humans in a fascist, militaristic future wage war with giant alien bugs."
Ah-ga-ssi,2016,8.1,"Drama, Romance, Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Doctor Sleep,2019,7.3,"Drama, Fantasy, Horror","Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal."
