name,year,rating,genre,description
American Psycho,2000,7.6,"Crime, Drama, Horror","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Midsommar,2019,7.1,"Drama, Horror, Mystery",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
Dunkirk,2017,7.8,"Action, Drama, History","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
Old,2021,5.8,"Drama, Horror, Mystery","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day."
Last Night in Soho,2021,7.1,"Drama, Horror, Mystery",An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.
Pulp Fiction,1994,8.9,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Prisoners,2013,8.1,"Crime, Drama, Mystery","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Gisaengchung,2019,8.5,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
The Green Knight,2021,6.6,"Adventure, Drama, Fantasy",A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.
The Tragedy of Macbeth,2021,7.2,"Drama, Thriller, War","A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power."
There Will Be Blood,2007,8.2,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
The Wolf of Wall Street,2013,8.2,"Biography, Comedy, Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Knives Out,2019,7.9,"Comedy, Crime, Drama","A detective investigates the death of the patriarch of an eccentric, combative family."
Being the Ricardos,2021,6.6,"Biography, Drama",Follows Lucy and Desi as they face a crisis that could end their careers and another that could end their marriage.
Titanic,1997,7.9,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Fight Club,1999,8.8,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Tashkent Files,2019,8.7,"Drama, Mystery, Thriller","Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated."
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,"Action, Adventure, Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
The Lighthouse,I 2019,7.4,"Drama, Fantasy, Horror",Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.
The Green Mile,1999,8.6,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Se7en,1995,8.6,"Crime, Drama, Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Schindler's List,1993,9.0,"Biography, Drama, History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Inglourious Basterds,2009,8.3,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
The Invisible Man,I 2020,7.1,"Drama, Horror, Mystery","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
È stata la mano di Dio,2021,7.4,Drama,"In 1980s Naples, young Fabietto pursues his love for football as family tragedy strikes, shaping his uncertain but promising future as a filmmaker."
The Killing of a Sacred Deer,2017,7.0,"Drama, Horror, Mystery","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister."
Forrest Gump,1994,8.8,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
Promising Young Woman,2020,7.5,"Crime, Drama, Mystery","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path."
Little Women,2019,7.8,"Drama, Romance","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
Blade Runner 2049,2017,8.0,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Jojo Rabbit,2019,7.9,"Comedy, Drama, War",A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.
Gone Girl,2014,8.1,"Drama, Mystery, Thriller","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
The Prestige,2006,8.5,"Drama, Mystery, Thriller","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Godfather: Part II,1974,9.0,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
Whiplash,2014,8.5,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Heat,1995,8.3,"Action, Crime, Drama",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
The Devil All the Time,2020,7.1,"Crime, Drama, Thriller",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
Murder on the Orient Express,2017,6.5,"Crime, Drama, Mystery","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
Shooter,I 2007,7.2,"Action, Drama, Thriller","A marksman living in exile is coaxed back into action after learning of a plot to kill the President. After being double crossed for the attempt and on the run, he sets out for the real killer and the truth."
Little Miss Sunshine,2006,7.8,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
Django Unchained,2012,8.5,"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
Requiem for a Dream,2000,8.3,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Pig,I 2021,7.0,"Drama, Mystery, Thriller",A truffle hunter who lives alone in the Oregon wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.
Gangubai Kathiawadi,2022,7.0,"Biography, Crime, Drama",A woman becomes a powerful underworld figure.
Margin Call,2011,7.1,"Drama, Thriller",Follows the key people at an investment bank over a 24-hour period during the early stages of the 2008 financial crisis.
Watchmen,2009,7.7,"Action, Drama, Mystery","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
The Silence of the Lambs,1991,8.6,"Crime, Drama, Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Saving Private Ryan,1998,8.6,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Green Book,2018,8.2,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
Lolita,1997,6.9,"Drama, Romance","An English professor falls for a minor, and has to face the consequences of his actions."
Glass,2019,6.6,"Drama, Sci-Fi, Thriller","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
Twilight,I 2008,5.3,"Drama, Fantasy, Romance","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire."
1917,2019,8.3,"Action, Drama, War","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Tombstone,1993,7.8,"Action, Biography, Drama","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
Goodfellas,1990,8.7,"Biography, Crime, Drama","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
Titane,2021,6.6,"Drama, Horror, Sci-Fi","Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys."
Love,II 2015,6.1,"Drama, Romance","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
No Country for Old Men,2007,8.2,"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Basic Instinct,1992,7.0,"Drama, Mystery, Thriller",A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.
Gladiator,2000,8.5,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Good Will Hunting,1997,8.3,"Drama, Romance","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
